Source;Target;Label;Weight
86;120;"Edge from 86 to 120";0.12689
98;120;"Edge from 98 to 120";0.02592
103;120;"Edge from 103 to 120";0.032135
130;120;"Edge from 130 to 120";0.053982
154;120;"Edge from 154 to 120";0.24985
162;120;"Edge from 162 to 120";0.015089
102;121;"Edge from 102 to 121";0.11875
117;121;"Edge from 117 to 121";0.10169
165;121;"Edge from 165 to 121";0.026279
80;122;"Edge from 80 to 122";0.010299
104;122;"Edge from 104 to 122";0.095749
158;122;"Edge from 158 to 122";0.025331
164;122;"Edge from 164 to 122";0.19228
110;123;"Edge from 110 to 123";0.1697
166;123;"Edge from 166 to 123";0.029703
92;124;"Edge from 92 to 124";0.085466
132;124;"Edge from 132 to 124";0.012943
136;124;"Edge from 136 to 124";0.039024
144;124;"Edge from 144 to 124";0.018993
158;124;"Edge from 158 to 124";0.079706
165;124;"Edge from 165 to 124";0.072943
78;125;"Edge from 78 to 125";0.015314
79;125;"Edge from 79 to 125";0.084217
91;125;"Edge from 91 to 125";0.11034
97;125;"Edge from 97 to 125";0.02176
118;125;"Edge from 118 to 125";0.011896
126;125;"Edge from 126 to 125";0.016715
149;125;"Edge from 149 to 125";0.081231
150;125;"Edge from 150 to 125";0.023354
152;125;"Edge from 152 to 125";0.017475
78;126;"Edge from 78 to 126";0.16062
79;126;"Edge from 79 to 126";0.016389
82;126;"Edge from 82 to 126";0.043103
91;126;"Edge from 91 to 126";0.01041
97;126;"Edge from 97 to 126";0.021233
125;126;"Edge from 125 to 126";0.016715
131;126;"Edge from 131 to 126";0.010324
149;126;"Edge from 149 to 126";0.012018
152;126;"Edge from 152 to 126";0.079143
81;127;"Edge from 81 to 127";0.038265
85;127;"Edge from 85 to 127";0.2464
150;127;"Edge from 150 to 127";0.010476
153;127;"Edge from 153 to 127";0.12931
163;127;"Edge from 163 to 127";0.07012
164;127;"Edge from 164 to 127";0.049911
82;128;"Edge from 82 to 128";0.01903
87;128;"Edge from 87 to 128";0.12391
89;128;"Edge from 89 to 128";0.023
95;128;"Edge from 95 to 128";0.016285
119;128;"Edge from 119 to 128";0.013781
131;128;"Edge from 131 to 128";0.011934
148;128;"Edge from 148 to 128";0.026406
157;128;"Edge from 157 to 128";0.14886
74;129;"Edge from 74 to 129";0.07883
96;129;"Edge from 96 to 129";0.014621
138;129;"Edge from 138 to 129";0.042705
149;129;"Edge from 149 to 129";0.012952
155;129;"Edge from 155 to 129";0.085106
